Ten vat tu,Loai,Don vi,So luong,Don gia,Nguong canh bao,Ghi chu
Vat tu 68,Bu long - Oc vit,tan,309.69,59389,5,Ghi chu 68
Vat tu 69,Thep goc,met,280.15,57462,5,Ghi chu 69
Vat tu 70,Bu long - Oc vit,tan,242.26,67661,5,Ghi chu 70
Vat tu 71,Dam thep,cai,319.13,80850,5,Ghi chu 71
Vat tu 72,Thep hinh,thung,153.16,52282,5,Ghi chu 72
Vat tu 73,Thep hinh,cai,209.92,81199,5,Ghi chu 73
Vat tu 74,Tam thep,tan,34.78,76529,5,Ghi chu 74
Vat tu 75,Ong thep,tan,169.61,66308,5,Ghi chu 75
Vat tu 76,Thep hinh,thung,274.58,53915,5,Ghi chu 76
Vat tu 77,Thep goc,met,14.59,64575,5,Ghi chu 77
Vat tu 78,Dam thep,thung,100.95,82120,5,Ghi chu 78
Vat tu 79,Dam thep,kg,125.98,56733,5,Ghi chu 79
Vat tu 80,Dam thep,met,247.24,73188,5,Ghi chu 80
Vat tu 81,Bu long - Oc vit,tam,20.35,64559,5,Ghi chu 81
Vat tu 82,Bu long - Oc vit,kg,27.46,71134,5,Ghi chu 82
Vat tu 83,Ong thep,cuon,1.40,71901,5,Ghi chu 83
Vat tu 84,Ong thep,tan,299.40,75788,5,Ghi chu 84
Vat tu 85,Dam thep,tan,318.15,73197,5,Ghi chu 85
Vat tu 86,Vat tu tieu hao,met,163.88,69856,5,Ghi chu 86
Vat tu 87,Thep goc,thung,33.22,57326,5,Ghi chu 87
Vat tu 88,Tam thep,cuon,324.12,53782,5,Ghi chu 88
Vat tu 89,Thep hop,kg,111.80,65416,5,Ghi chu 89
Vat tu 90,Thep hinh,cai,80.82,70105,5,Ghi chu 90
Vat tu 91,Thep goc,cuon,228.31,82751,5,Ghi chu 91
Vat tu 92,Dam thep,thung,112.62,59257,5,Ghi chu 92
Vat tu 93,Bu long - Oc vit,thung,274.10,56797,5,Ghi chu 93
Vat tu 94,Ong thep,tam,32.62,75700,5,Ghi chu 94
Vat tu 95,Bu long - Oc vit,cai,22.66,53429,5,Ghi chu 95
Vat tu 96,Thep hinh,thung,299.00,61600,5,Ghi chu 96
Vat tu 97,Tam thep,met,38.55,79971,5,Ghi chu 97
Vat tu 98,Dam thep,tam,221.35,54984,5,Ghi chu 98
Vat tu 99,Bu long - Oc vit,cai,315.12,68172,5,Ghi chu 99
Vat tu 100,Thep goc,tam,201.16,82542,5,Ghi chu 100
Vat tu 101,Ong thep,tam,206.43,66200,5,Ghi chu 101
Vat tu 102,Thep goc,cai,110.13,52366,5,Ghi chu 102
Vat tu 103,Thep hinh,cuon,132.04,52789,5,Ghi chu 103
Vat tu 104,Tam thep,thung,159.84,51432,5,Ghi chu 104
Vat tu 105,Tam thep,tan,173.45,80805,5,Ghi chu 105
Vat tu 106,Bu long - Oc vit,tan,93.10,80573,5,Ghi chu 106
Vat tu 107,Bu long - Oc vit,thung,287.39,60159,5,Ghi chu 107
Vat tu 108,Thep hinh,thung,11.60,79535,5,Ghi chu 108
Vat tu 109,Bu long - Oc vit,met,64.02,68042,5,Ghi chu 109
Vat tu 110,Thep hinh,met,257.42,75673,5,Ghi chu 110
Vat tu 111,Ong thep,met,284.30,66604,5,Ghi chu 111
Vat tu 112,Tam thep,cai,204.59,78956,5,Ghi chu 112
Vat tu 113,Thep hop,met,172.85,80154,5,Ghi chu 113
Vat tu 114,Tam thep,met,127.19,60565,5,Ghi chu 114
Vat tu 115,Bu long - Oc vit,cuon,276.06,82559,5,Ghi chu 115
Vat tu 116,Vat tu tieu hao,cuon,284.67,69027,5,Ghi chu 116
Vat tu 117,Tam thep,thung,132.22,69619,5,Ghi chu 117
Vat tu 118,Ong thep,thung,89.95,71934,5,Ghi chu 118
Vat tu 119,Tam thep,met,323.62,62320,5,Ghi chu 119
Vat tu 120,Bu long - Oc vit,met,109.77,61436,5,Ghi chu 120
Vat tu 121,Tam thep,thung,35.36,50027,5,Ghi chu 121
Vat tu 122,Thep goc,cai,321.27,53773,5,Ghi chu 122
Vat tu 123,Tam thep,thung,54.93,52246,5,Ghi chu 123
Vat tu 124,Bu long - Oc vit,kg,80.91,52228,5,Ghi chu 124
Vat tu 125,Thep hinh,met,313.80,54242,5,Ghi chu 125
Vat tu 126,Thep hop,tan,17.52,62738,5,Ghi chu 126
Vat tu 127,Ong thep,cai,249.53,73772,5,Ghi chu 127
Vat tu 128,Dam thep,cuon,41.92,68049,5,Ghi chu 128
Vat tu 129,Dam thep,tan,215.78,79257,5,Ghi chu 129
Vat tu 130,Dam thep,met,206.00,71428,5,Ghi chu 130
Vat tu 131,Thep hinh,tan,172.29,72642,5,Ghi chu 131
Vat tu 132,Dam thep,cuon,292.73,79382,5,Ghi chu 132
Vat tu 133,Thep hinh,tam,124.18,74244,5,Ghi chu 133
Vat tu 134,Thep hinh,cuon,311.15,73153,5,Ghi chu 134
Vat tu 135,Tam thep,cai,175.87,77409,5,Ghi chu 135
Vat tu 136,Thep hop,tan,316.48,60235,5,Ghi chu 136
Vat tu 137,Thep goc,cai,96.36,78848,5,Ghi chu 137
Vat tu 138,Ong thep,tam,289.85,68943,5,Ghi chu 138
Vat tu 139,Dam thep,met,263.71,77939,5,Ghi chu 139
Vat tu 140,Thep goc,cai,20.69,64705,5,Ghi chu 140
Vat tu 141,Ong thep,kg,164.18,50488,5,Ghi chu 141
Vat tu 142,Thep goc,cuon,99.97,52135,5,Ghi chu 142
Vat tu 143,Dam thep,tam,175.52,65010,5,Ghi chu 143
Vat tu 144,Thep goc,met,214.71,79391,5,Ghi chu 144
Vat tu 145,Dam thep,kg,72.23,75763,5,Ghi chu 145
Vat tu 146,Bu long - Oc vit,met,312.53,70760,5,Ghi chu 146
Vat tu 147,Dam thep,tan,84.64,57618,5,Ghi chu 147
Vat tu 148,Bu long - Oc vit,cuon,203.19,54231,5,Ghi chu 148
Vat tu 149,Thep hinh,tam,189.01,81992,5,Ghi chu 149
Vat tu 150,Tam thep,tan,254.05,50117,5,Ghi chu 150
Vat tu 151,Thep hinh,thung,211.34,53690,5,Ghi chu 151
Vat tu 152,Thep goc,met,21.35,58777,5,Ghi chu 152
Vat tu 153,Bu long - Oc vit,met,308.50,80190,5,Ghi chu 153
Vat tu 154,Bu long - Oc vit,tan,33.13,74743,5,Ghi chu 154
Vat tu 155,Thep hop,cuon,229.00,61861,5,Ghi chu 155
Vat tu 156,Ong thep,cuon,311.81,71239,5,Ghi chu 156
Vat tu 157,Dam thep,met,221.85,73834,5,Ghi chu 157
Vat tu 158,Thep hinh,cuon,221.62,78707,5,Ghi chu 158
Vat tu 159,Thep hinh,cuon,172.57,68885,5,Ghi chu 159
Vat tu 160,Thep hop,tam,118.69,72956,5,Ghi chu 160
Vat tu 161,Tam thep,tam,101.65,54888,5,Ghi chu 161
Vat tu 162,Tam thep,cuon,130.42,74724,5,Ghi chu 162
Vat tu 163,Thep hop,cuon,6.58,54454,5,Ghi chu 163
Vat tu 164,Tam thep,cuon,150.25,58771,5,Ghi chu 164
Vat tu 165,Thep hinh,cai,111.73,76237,5,Ghi chu 165
Vat tu 166,Thep goc,tam,97.46,57796,5,Ghi chu 166
Vat tu 167,Ong thep,met,290.09,74496,5,Ghi chu 167
Vat tu 168,Thep goc,thung,12.16,53059,5,Ghi chu 168
Vat tu 169,Vat tu tieu hao,cai,293.44,73884,5,Ghi chu 169
Vat tu 170,Thep goc,kg,316.13,76038,5,Ghi chu 170
Vat tu 171,Bu long - Oc vit,cai,227.39,54381,5,Ghi chu 171
Vat tu 172,Vat tu tieu hao,cai,25.23,69219,5,Ghi chu 172
Vat tu 173,Thep hop,met,306.44,55617,5,Ghi chu 173
Vat tu 174,Thep hop,tam,115.37,71853,5,Ghi chu 174
Vat tu 175,Thep hinh,tan,138.93,78363,5,Ghi chu 175
Vat tu 176,Vat tu tieu hao,tam,109.14,64208,5,Ghi chu 176
Vat tu 177,Bu long - Oc vit,cai,246.28,55950,5,Ghi chu 177
Vat tu 178,Ong thep,tam,64.09,67532,5,Ghi chu 178
Vat tu 179,Dam thep,tam,231.77,52376,5,Ghi chu 179
Vat tu 180,Dam thep,thung,30.54,59201,5,Ghi chu 180
Vat tu 181,Thep goc,met,118.40,72134,5,Ghi chu 181
Vat tu 182,Tam thep,tan,67.44,53279,5,Ghi chu 182
Vat tu 183,Vat tu tieu hao,tan,277.68,82684,5,Ghi chu 183
Vat tu 184,Vat tu tieu hao,tam,285.26,73044,5,Ghi chu 184
Vat tu 185,Thep hinh,cai,308.56,82115,5,Ghi chu 185
Vat tu 186,Bu long - Oc vit,cai,169.21,56911,5,Ghi chu 186
Vat tu 187,Thep hop,cai,38.13,71779,5,Ghi chu 187
Vat tu 188,Vat tu tieu hao,thung,33.26,76394,5,Ghi chu 188
Vat tu 189,Tam thep,tan,9.03,79387,5,Ghi chu 189
Vat tu 190,Thep goc,cuon,189.50,55097,5,Ghi chu 190
Vat tu 191,Tam thep,tan,288.38,54438,5,Ghi chu 191
Vat tu 192,Thep hop,kg,186.47,74845,5,Ghi chu 192
Vat tu 193,Thep hinh,tam,148.07,58106,5,Ghi chu 193
Vat tu 194,Thep goc,cai,161.28,81093,5,Ghi chu 194
Vat tu 195,Thep hop,tan,67.79,65895,5,Ghi chu 195
Vat tu 196,Ong thep,tan,74.92,56086,5,Ghi chu 196
Vat tu 197,Dam thep,tam,134.16,50182,5,Ghi chu 197
Vat tu 198,Dam thep,cai,268.74,52587,5,Ghi chu 198
Vat tu 199,Ong thep,tan,157.10,53839,5,Ghi chu 199
Vat tu 200,Thep goc,kg,295.83,74470,5,Ghi chu 200
Vat tu 201,Thep hop,cai,186.98,53509,5,Ghi chu 201
Vat tu 202,Vat tu tieu hao,thung,184.20,51279,5,Ghi chu 202
Vat tu 203,Vat tu tieu hao,tam,39.38,79648,5,Ghi chu 203
Vat tu 204,Vat tu tieu hao,thung,73.44,62445,5,Ghi chu 204
Vat tu 205,Vat tu tieu hao,cuon,21.22,61770,5,Ghi chu 205
Vat tu 206,Bu long - Oc vit,thung,269.63,76163,5,Ghi chu 206
Vat tu 207,Dam thep,tan,304.22,65867,5,Ghi chu 207
Vat tu 208,Tam thep,kg,279.09,71063,5,Ghi chu 208
Vat tu 209,Tam thep,met,48.48,78933,5,Ghi chu 209
Vat tu 210,Thep goc,met,51.50,56464,5,Ghi chu 210
Vat tu 211,Thep hop,tam,239.86,72379,5,Ghi chu 211
Vat tu 212,Thep hinh,cuon,169.24,81456,5,Ghi chu 212
Vat tu 213,Thep hinh,cai,18.44,62060,5,Ghi chu 213
Vat tu 214,Vat tu tieu hao,kg,80.23,82070,5,Ghi chu 214
Vat tu 215,Bu long - Oc vit,tan,162.54,52719,5,Ghi chu 215
Vat tu 216,Tam thep,tan,265.58,75574,5,Ghi chu 216
Vat tu 217,Thep goc,thung,123.38,51566,5,Ghi chu 217
Vat tu 218,Thep hop,cai,171.47,75723,5,Ghi chu 218
Vat tu 219,Thep hop,cuon,240.77,55761,5,Ghi chu 219
Vat tu 220,Thep goc,cuon,162.87,53230,5,Ghi chu 220
Vat tu 221,Dam thep,tam,305.45,80106,5,Ghi chu 221
Vat tu 222,Ong thep,tam,43.10,69859,5,Ghi chu 222
Vat tu 223,Thep hinh,kg,318.92,63731,5,Ghi chu 223
Vat tu 224,Bu long - Oc vit,thung,96.24,50422,5,Ghi chu 224
Vat tu 225,Bu long - Oc vit,tan,9.20,56293,5,Ghi chu 225
Vat tu 226,Dam thep,kg,303.56,82099,5,Ghi chu 226
Vat tu 227,Thep hinh,thung,86.90,82242,5,Ghi chu 227
Vat tu 228,Ong thep,kg,185.41,78428,5,Ghi chu 228
Vat tu 229,Thep hop,cai,68.75,53431,5,Ghi chu 229
Vat tu 230,Bu long - Oc vit,cai,205.65,80726,5,Ghi chu 230
Vat tu 231,Tam thep,met,29.57,55501,5,Ghi chu 231
Vat tu 232,Bu long - Oc vit,tam,71.14,72067,5,Ghi chu 232
Vat tu 233,Dam thep,tam,135.86,56787,5,Ghi chu 233
Vat tu 234,Thep hinh,met,72.08,59191,5,Ghi chu 234
Vat tu 235,Thep goc,cuon,119.54,69628,5,Ghi chu 235
Vat tu 236,Thep goc,tam,26.14,79284,5,Ghi chu 236
Vat tu 237,Vat tu tieu hao,tam,123.99,69624,5,Ghi chu 237
Vat tu 238,Thep hinh,kg,107.38,77000,5,Ghi chu 238
Vat tu 239,Ong thep,kg,252.09,50589,5,Ghi chu 239
Vat tu 240,Thep hinh,cai,172.35,82471,5,Ghi chu 240
Vat tu 241,Dam thep,kg,87.20,57831,5,Ghi chu 241
Vat tu 242,Thep hop,tam,47.65,70626,5,Ghi chu 242
Vat tu 243,Bu long - Oc vit,cuon,261.89,56971,5,Ghi chu 243
Vat tu 244,Bu long - Oc vit,tan,157.83,56082,5,Ghi chu 244
Vat tu 245,Vat tu tieu hao,cuon,77.48,57172,5,Ghi chu 245
Vat tu 246,Bu long - Oc vit,kg,2.22,60474,5,Ghi chu 246
Vat tu 247,Ong thep,cuon,144.88,74757,5,Ghi chu 247
Vat tu 248,Vat tu tieu hao,met,106.30,74838,5,Ghi chu 248
Vat tu 249,Thep hinh,kg,59.30,51352,5,Ghi chu 249
Vat tu 250,Thep hinh,tam,215.35,72128,5,Ghi chu 250
Vat tu 251,Dam thep,tam,149.28,63538,5,Ghi chu 251
Vat tu 252,Thep hinh,thung,9.39,74308,5,Ghi chu 252
Vat tu 253,Vat tu tieu hao,thung,220.32,75666,5,Ghi chu 253
Vat tu 254,Vat tu tieu hao,kg,158.43,55578,5,Ghi chu 254
Vat tu 255,Bu long - Oc vit,thung,231.13,61450,5,Ghi chu 255
Vat tu 256,Dam thep,tan,201.51,68012,5,Ghi chu 256
Vat tu 257,Vat tu tieu hao,cuon,98.81,75554,5,Ghi chu 257
Vat tu 258,Thep hop,cai,23.88,70359,5,Ghi chu 258
Vat tu 259,Vat tu tieu hao,thung,208.68,60019,5,Ghi chu 259
Vat tu 260,Vat tu tieu hao,cai,137.50,71484,5,Ghi chu 260
Vat tu 261,Thep hinh,tam,266.58,74745,5,Ghi chu 261
Vat tu 262,Ong thep,cai,63.86,56878,5,Ghi chu 262
Vat tu 263,Tam thep,thung,15.30,70827,5,Ghi chu 263
Vat tu 264,Dam thep,cai,40.85,65792,5,Ghi chu 264
Vat tu 265,Thep hop,cuon,141.33,79875,5,Ghi chu 265
Vat tu 266,Thep goc,tam,269.63,63755,5,Ghi chu 266
Vat tu 267,Bu long - Oc vit,cuon,315.20,51257,5,Ghi chu 267
Vat tu 268,Ong thep,cai,21.82,59584,5,Ghi chu 268
Vat tu 269,Thep goc,tam,168.86,70775,5,Ghi chu 269
Vat tu 270,Thep hinh,kg,240.98,67770,5,Ghi chu 270
Vat tu 271,Thep goc,cai,69.24,55016,5,Ghi chu 271
Vat tu 272,Thep goc,met,172.45,55014,5,Ghi chu 272
Vat tu 273,Thep hinh,cai,293.11,72174,5,Ghi chu 273
Vat tu 274,Tam thep,cuon,154.03,72893,5,Ghi chu 274
Vat tu 275,Bu long - Oc vit,cai,83.77,66348,5,Ghi chu 275
Vat tu 276,Thep hinh,met,61.18,77017,5,Ghi chu 276
Vat tu 277,Bu long - Oc vit,cai,324.14,69184,5,Ghi chu 277
Vat tu 278,Thep hinh,tan,106.29,52962,5,Ghi chu 278
Vat tu 279,Tam thep,met,232.90,80423,5,Ghi chu 279
Vat tu 280,Bu long - Oc vit,cuon,44.59,74882,5,Ghi chu 280
Vat tu 281,Thep hinh,cuon,80.54,54387,5,Ghi chu 281
Vat tu 282,Ong thep,tam,220.13,70722,5,Ghi chu 282
Vat tu 283,Thep hinh,tam,114.60,77881,5,Ghi chu 283
Vat tu 284,Thep goc,thung,103.64,66835,5,Ghi chu 284
Vat tu 285,Dam thep,tan,87.88,70076,5,Ghi chu 285
Vat tu 286,Thep goc,kg,59.31,59930,5,Ghi chu 286
Vat tu 287,Tam thep,cai,300.16,68757,5,Ghi chu 287
Vat tu 288,Tam thep,cai,86.96,78578,5,Ghi chu 288
Vat tu 289,Dam thep,thung,69.01,75366,5,Ghi chu 289
Vat tu 290,Dam thep,met,251.56,73304,5,Ghi chu 290
Vat tu 291,Thep hop,cai,304.67,75275,5,Ghi chu 291
Vat tu 292,Thep hop,met,37.14,66087,5,Ghi chu 292
Vat tu 293,Dam thep,tan,324.91,69890,5,Ghi chu 293
Vat tu 294,Dam thep,tam,327.78,81254,5,Ghi chu 294
Vat tu 295,Thep hop,tam,142.57,57701,5,Ghi chu 295
Vat tu 296,Vat tu tieu hao,kg,256.45,74266,5,Ghi chu 296
Vat tu 297,Vat tu tieu hao,kg,182.36,51525,5,Ghi chu 297
Vat tu 298,Dam thep,tan,294.91,60703,5,Ghi chu 298
Vat tu 299,Thep hinh,cuon,192.05,66080,5,Ghi chu 299
Vat tu 300,Ong thep,cai,155.74,57160,5,Ghi chu 300
Vat tu 301,Bu long - Oc vit,kg,23.74,77852,5,Ghi chu 301
Vat tu 302,Tam thep,tam,269.70,71309,5,Ghi chu 302
Vat tu 303,Dam thep,met,139.53,80920,5,Ghi chu 303
Vat tu 304,Vat tu tieu hao,tam,136.70,55586,5,Ghi chu 304
Vat tu 305,Thep goc,tam,277.28,52552,5,Ghi chu 305
Vat tu 306,Tam thep,kg,258.14,55277,5,Ghi chu 306
Vat tu 307,Tam thep,kg,99.21,62007,5,Ghi chu 307
Vat tu 308,Bu long - Oc vit,thung,38.62,63034,5,Ghi chu 308
Vat tu 309,Thep hop,kg,139.02,62079,5,Ghi chu 309
Vat tu 310,Thep hinh,tan,50.26,66958,5,Ghi chu 310
Vat tu 311,Thep hop,cai,289.66,60535,5,Ghi chu 311
Vat tu 312,Thep hop,kg,241.55,73908,5,Ghi chu 312
Vat tu 313,Ong thep,cuon,116.73,62431,5,Ghi chu 313
Vat tu 314,Thep goc,tan,228.05,69577,5,Ghi chu 314
Vat tu 315,Bu long - Oc vit,cuon,58.14,56758,5,Ghi chu 315
Vat tu 316,Ong thep,tam,235.19,63821,5,Ghi chu 316
Vat tu 317,Dam thep,met,50.30,74905,5,Ghi chu 317
Vat tu 318,Thep goc,tam,197.61,70288,5,Ghi chu 318
Vat tu 319,Thep goc,tan,231.18,62401,5,Ghi chu 319
Vat tu 320,Bu long - Oc vit,cuon,132.02,66110,5,Ghi chu 320
Vat tu 321,Bu long - Oc vit,kg,237.14,60002,5,Ghi chu 321
Vat tu 322,Vat tu tieu hao,met,320.03,77126,5,Ghi chu 322
Vat tu 323,Vat tu tieu hao,tan,246.45,65234,5,Ghi chu 323
Vat tu 324,Tam thep,kg,241.29,55065,5,Ghi chu 324
Vat tu 325,Vat tu tieu hao,kg,184.22,78847,5,Ghi chu 325
Vat tu 326,Dam thep,met,253.52,77441,5,Ghi chu 326
Vat tu 327,Thep goc,tan,158.96,77298,5,Ghi chu 327
Vat tu 328,Thep hop,kg,252.10,75959,5,Ghi chu 328
Vat tu 329,Thep hop,met,323.74,63673,5,Ghi chu 329
Vat tu 330,Thep hop,tan,213.06,52476,5,Ghi chu 330
Vat tu 331,Ong thep,met,276.76,58287,5,Ghi chu 331
Vat tu 332,Thep hinh,cai,307.79,67320,5,Ghi chu 332
Vat tu 333,Tam thep,met,53.60,70278,5,Ghi chu 333
Vat tu 334,Ong thep,tam,114.74,55862,5,Ghi chu 334
Vat tu 335,Bu long - Oc vit,cai,191.09,72541,5,Ghi chu 335
Vat tu 336,Thep goc,met,275.55,52546,5,Ghi chu 336
Vat tu 337,Vat tu tieu hao,cai,155.81,72504,5,Ghi chu 337
Vat tu 338,Vat tu tieu hao,kg,9.79,76741,5,Ghi chu 338
Vat tu 339,Thep goc,tan,96.99,52295,5,Ghi chu 339
Vat tu 340,Thep goc,cai,192.83,54789,5,Ghi chu 340
Vat tu 341,Ong thep,tan,191.25,69829,5,Ghi chu 341
Vat tu 342,Bu long - Oc vit,thung,314.92,62436,5,Ghi chu 342
Vat tu 343,Thep hop,tan,29.95,68306,5,Ghi chu 343
Vat tu 344,Thep hinh,tam,235.73,64583,5,Ghi chu 344
Vat tu 345,Thep hop,tam,128.05,77082,5,Ghi chu 345
Vat tu 346,Vat tu tieu hao,tam,90.22,50005,5,Ghi chu 346
Vat tu 347,Thep goc,cai,100.78,82292,5,Ghi chu 347
Vat tu 348,Tam thep,tam,176.20,68331,5,Ghi chu 348
Vat tu 349,Dam thep,tan,261.58,53599,5,Ghi chu 349
Vat tu 350,Vat tu tieu hao,thung,210.98,58609,5,Ghi chu 350
Vat tu 351,Thep goc,tan,226.59,75685,5,Ghi chu 351
Vat tu 352,Tam thep,tan,281.29,70893,5,Ghi chu 352
Vat tu 353,Tam thep,kg,200.92,61440,5,Ghi chu 353
Vat tu 354,Vat tu tieu hao,thung,231.92,52549,5,Ghi chu 354
Vat tu 355,Tam thep,met,274.04,79247,5,Ghi chu 355
Vat tu 356,Bu long - Oc vit,cai,185.74,51313,5,Ghi chu 356
Vat tu 357,Ong thep,met,290.66,67841,5,Ghi chu 357
Vat tu 358,Dam thep,cai,230.36,53773,5,Ghi chu 358
Vat tu 359,Dam thep,met,302.36,75737,5,Ghi chu 359
Vat tu 360,Vat tu tieu hao,thung,193.69,82042,5,Ghi chu 360
Vat tu 361,Thep goc,cuon,218.60,68317,5,Ghi chu 361
Vat tu 362,Thep goc,tam,119.24,77083,5,Ghi chu 362
Vat tu 363,Tam thep,kg,52.49,71359,5,Ghi chu 363
Vat tu 364,Tam thep,tam,7.11,82292,5,Ghi chu 364
Vat tu 365,Dam thep,thung,130.30,50811,5,Ghi chu 365
Vat tu 366,Tam thep,cuon,135.59,60626,5,Ghi chu 366
Vat tu 367,Thep hinh,kg,147.19,60479,5,Ghi chu 367
Vat tu 368,Thep hop,thung,56.07,73418,5,Ghi chu 368
Vat tu 369,Dam thep,thung,223.75,52285,5,Ghi chu 369
Vat tu 370,Thep hinh,kg,169.54,63426,5,Ghi chu 370
Vat tu 371,Thep goc,kg,153.34,69619,5,Ghi chu 371
Vat tu 372,Thep hop,tam,156.85,56669,5,Ghi chu 372
Vat tu 373,Thep hinh,cai,111.55,50270,5,Ghi chu 373
Vat tu 374,Bu long - Oc vit,met,56.43,80653,5,Ghi chu 374
Vat tu 375,Dam thep,cuon,119.20,64634,5,Ghi chu 375
Vat tu 376,Dam thep,thung,108.81,68670,5,Ghi chu 376
Vat tu 377,Dam thep,cai,68.62,62711,5,Ghi chu 377
Vat tu 378,Bu long - Oc vit,cuon,227.78,58305,5,Ghi chu 378
Vat tu 379,Thep hinh,cuon,211.64,50172,5,Ghi chu 379
Vat tu 380,Thep hinh,tam,233.84,64061,5,Ghi chu 380
Vat tu 381,Ong thep,cai,8.26,73090,5,Ghi chu 381
